dataset,accuracy_dropout,accuracy_ensemble,accuracy_mean,accuracy_mean_rep_ridge,accuracy_standard_deviation,accuracy_std_rep_ridge,delta_mean,margin_dropout,margin_ensemble,margin_roc_auc_dropout,margin_roc_auc_ensemble,maxprob_dropout,maxprob_ensemble,maxprob_roc_auc_dropout,maxprob_roc_auc_ensemble,mutual_information_dropout,mutual_information_ensemble,mutual_information_roc_auc_dropout,mutual_information_roc_auc_ensemble,predictive_entropy_dropout,predictive_entropy_ensemble,predictive_entropy_roc_auc_dropout,predictive_entropy_roc_auc_ensemble,std_averaged_over_ensemble_dropout,std_averaged_over_ensemble_ensemble,std_averaged_over_ensemble_roc_auc_dropout,std_averaged_over_ensemble_roc_auc_ensemble,std_dropout,std_ensemble,std_roc_auc_dropout,std_roc_auc_ensemble
Computers,0.7720000147819519,0.7760000228881836,0.76,0.766,0.00864099,0.006,-0.006,0.5430200099945068,0.5120464563369751,0.701208981001727,0.6831737849779087,0.5430200099945068,0.5120464563369751,0.701208981001727,0.6831737849779087,0.5696299076080322,0.4530998766422272,0.702754295064085,0.639819587628866,0.5430200099945068,0.5120464563369751,0.701208981001727,0.6831737849779087,0.5590879321098328,0.4866878688335418,0.7007544768657394,0.6630154639175257,0.5430200099945068,0.5120464563369751,0.701208981001727,0.6831737849779087
CricketX,0.7512820959091187,0.7410256862640381,0.82230769,0.82,0.00580316,0.0067645671580886,0.00230769,0.7589835524559021,0.7692081332206726,0.8396959994370359,0.8551166535338655,0.7707363367080688,0.7789117097854614,0.8493719432813763,0.8624481825345164,0.7138563990592957,0.7505092620849609,0.7936385067379754,0.8338415156394532,0.7726550698280334,0.7816188931465149,0.8507089827944126,0.8590907533659939,0.742669939994812,0.7744718194007874,0.8206255937510996,0.8534721984309157,0.7746824622154236,0.7799220681190491,0.8529256535660251,0.8632361506046798
CricketY,0.7461538910865784,0.7487179636955261,0.85025641,0.8620512820512822,0.0067516,0.0048379390420803,-0.0117948720512822,0.6924718022346497,0.6978565454483032,0.785032455135548,0.7935071288789488,0.7003340125083923,0.7066176533699036,0.7912805026207088,0.7987140061504053,0.7036903500556946,0.6745943427085876,0.7887812836266446,0.7714215823315627,0.7070035338401794,0.6959595680236816,0.79624422923392,0.7885099245177524,0.7128840088844299,0.7002434134483337,0.7965219202332605,0.790257198769919,0.7020754814147949,0.7021939754486084,0.792530112117741,0.7940313111545988
CricketZ,0.7692307829856873,0.7897436022758484,0.85769231,0.860769230769231,0.00848266,0.0036352427894251,-0.0030769207692309,0.7830485701560974,0.7619255781173706,0.871,0.8577367754197023,0.784936249256134,0.7652605772018433,0.8714074074074075,0.8598748812163447,0.7713801264762878,0.7289270162582397,0.8324444444444445,0.8266154577130187,0.7787608504295349,0.7577226758003235,0.8661851851851851,0.8527082673424137,0.7754505276679993,0.7512099146842957,0.8511481481481482,0.8490655685777637,0.7818817496299744,0.7626680135726929,0.8684074074074074,0.8572220462464366
DiatomSizeReduction,0.8398693203926086,0.843137264251709,0.97026144,0.9640522875816993,0.00605531,0.0041336962878017,0.0062091524183007,0.8960433006286621,0.8074122667312622,0.903914873342333,0.8440729974160208,0.8974350690841675,0.8046791553497314,0.9052648296672756,0.8425387596899224,0.9095130562782288,0.7906886339187622,0.9145557055507028,0.8290536175710594,0.8980710506439209,0.8026988506317139,0.9058206940363694,0.8410045219638244,0.9018275141716005,0.7902165651321411,0.9083617882950846,0.8285691214470283,0.8971385359764099,0.8043698668479919,0.904947192884936,0.8422157622739017
DistalPhalanxOutlineAgeGroup,0.7266187071800232,0.7122302055358887,0.75467626,0.7474820143884892,0.00715416,0.0126463279361488,0.0071942456115108,0.4587610960006714,0.6227407455444336,0.6727462219906202,0.7482323232323232,0.4583232402801513,0.6275344491004944,0.674048983845753,0.7507575757575757,0.4954755902290344,0.676703691482544,0.6782178217821783,0.7616161616161616,0.4521920680999756,0.6234484910964966,0.6711829077644608,0.7459595959595959,0.4822593927383423,0.6657310724258423,0.678999478895258,0.7611111111111112,0.4590818285942077,0.6266269087791443,0.6748306409588328,0.7494949494949495
DistalPhalanxOutlineCorrect,0.8079710006713867,0.7862318754196167,0.76775362,0.7684782608695653,0.00861645,0.0108029358810692,-0.0007246408695652,0.5895053148269653,0.6340687870979309,0.7576783145782215,0.7793485901741779,0.5895053148269653,0.6340687870979309,0.7576783145782215,0.7793485901741779,0.6025514602661133,0.6323772668838501,0.7629241052542517,0.7780207763805358,0.5895053148269653,0.6340687870979309,0.7576783145782215,0.7793485901741779,0.5979969501495361,0.6396490931510925,0.7596243336999745,0.7832539248613607,0.5895053148269653,0.6340687870979309,0.7576783145782215,0.7793485901741779
DistalPhalanxTW,0.6762589812278748,0.6762589812278748,0.71870504,0.6964028776978418,0.00227502,0.0139501578630685,0.0223021623021582,0.5625340342521667,0.6297433376312256,0.7631205673758864,0.7711583924349882,0.5741263031959534,0.638776421546936,0.7728132387706856,0.7796690307328605,0.594758927822113,0.6423617005348206,0.7848699763593381,0.7739952718676123,0.5872288346290588,0.6473937034606934,0.7836879432624113,0.7860520094562649,0.5790939331054688,0.6458892226219177,0.7780141843971632,0.7789598108747046,0.577544629573822,0.6409202218055725,0.7761229314420804,0.7810874704491726
ECG200,0.8999999761581421,0.8999999761581421,0.906,0.917,0.00516398,0.0045825756949558,-0.011,0.5304280519485474,0.5398523211479187,0.7311111111111112,0.75,0.5304280519485474,0.5398523211479187,0.7311111111111112,0.75,0.5288558602333069,0.5547245144844055,0.7355555555555555,0.7511111111111111,0.5304280519485474,0.5398523211479187,0.7311111111111112,0.75,0.5310181379318237,0.559694766998291,0.73,0.7555555555555555,0.5304280519485474,0.5398523211479187,0.7311111111111112,0.75
ECG5000,0.9364444613456726,0.9424444437026978,0.94697778,0.9479111111111111,0.0006036,0.0003999999999999,-0.0009333311111111,0.8303758502006531,0.8260418772697449,0.8646668945672268,0.8617485677141419,0.833901584148407,0.829858124256134,0.8674324014855576,0.8647146489636469,0.8527247309684753,0.8552648425102234,0.8810110155625106,0.8869866599175724,0.8372950553894043,0.8334382176399231,0.8703323254818272,0.8677116837927967,0.8438569903373718,0.8460037112236023,0.8745938446935125,0.8790743787206886,0.8341583609580994,0.8300948143005371,0.8676738543848178,0.8649376968169705
ECGFiveDays,0.9581881165504456,0.9291521310806274,1.0,1.0,0.0,0.0,0.0,0.9556551575660706,0.9681988954544068,0.9574410774410774,0.9689754098360656,0.9556551575660706,0.9681988954544068,0.9574410774410774,0.9689754098360656,0.9575285315513612,0.9765391945838928,0.9590235690235692,0.9771516393442624,0.9556551575660706,0.9681988954544068,0.9574410774410776,0.9689754098360656,0.9567831158638,0.975239098072052,0.9584175084175084,0.9759221311475408,0.9556551575660706,0.9681988954544068,0.9574410774410774,0.9689754098360656
Earthquakes,0.5323740839958191,0.5611510872840881,0.74820144,0.7553956834532374,0.0,0.0071942446043165,-0.0071942434532373,0.4211719036102295,0.3947192728519439,0.6135135135135136,0.6172761664564943,0.4211719036102295,0.3947192728519439,0.6135135135135136,0.6172761664564943,0.3103874623775482,0.0734503418207168,0.5848232848232848,0.5096679277007147,0.4211719036102295,0.3947192728519439,0.6135135135135136,0.6172761664564943,0.3751114010810852,0.2812261879444122,0.6114345114345114,0.5651534258091636,0.4211719036102295,0.3947192728519439,0.6135135135135136,0.6172761664564943
ElectricDevices,0.6984826922416687,0.693035900592804,0.73054079,0.7300090779406043,0.00233016,0.0014104682443154,0.0005317120593957,0.3248999416828155,0.3408921658992767,0.6816765888464318,0.6932500651422123,0.3240938782691955,0.3406161367893219,0.6886094973427723,0.7005689191958289,0.3045471310615539,0.2742649614810943,0.6636089583108737,0.6458587893920651,0.3128354549407959,0.3321953415870666,0.6852219014649689,0.6988204358077255,0.3268583416938782,0.3151769936084747,0.6815532104340603,0.6724392627925392,0.3259713053703308,0.3431197106838226,0.6905585568319298,0.7031652790742975
FaceAll,0.7917159795761108,0.7988165616989136,0.94751479,0.9585207100591716,0.00263223,0.0023882172864627,-0.0110059200591714,-0.0919180437922477,0.4628176391124725,0.5583575383883679,0.6999673202614379,-0.164099246263504,0.407702773809433,0.543053149205055,0.6801590413943356,0.4505476057529449,0.7998407483100891,0.6921265627123251,0.8480958605664488,-0.2100096493959427,0.358549416065216,0.5289207942655252,0.6579651416122004,0.1920100748538971,0.6775001287460327,0.6236411197173529,0.7857015250544662,-0.1650392264127731,0.4063019752502441,0.5421486445169179,0.6788910675381263
FaceFour,0.9204545617103576,0.9431818723678588,0.975,0.9772727272727272,0.00479133,1.1102230246251563e-16,-0.0022727272727272,0.9214617013931274,0.9430345892906188,0.9206349206349206,0.9397590361445782,0.919115662574768,0.9451555013656616,0.9171075837742504,0.9421686746987952,0.9597199559211732,0.980911374092102,0.9541446208112876,0.9734939759036144,0.9224779009819032,0.9419280290603638,0.9206349206349208,0.9397590361445785,0.9533443450927734,0.9720986485481262,0.9488536155202822,0.9662650602409638,0.919115662574768,0.9419280290603638,0.9171075837742504,0.9397590361445785
FacesUCR,0.9160975813865662,0.9219512343406676,0.96160976,0.9576097560975608,0.00051676,0.0011429633672058,0.004000003902439,0.893441915512085,0.9118287563323976,0.916437575847636,0.9322387566137568,0.8939420580863953,0.9117482900619508,0.9168678950887884,0.9319742063492064,0.8992292284965515,0.9142917394638062,0.9187253882160636,0.9325099206349206,0.8879747986793518,0.9052587747573853,0.9116049978948412,0.925813492063492,0.8973399996757507,0.9143326878547668,0.918332218837457,0.9331448412698412,0.8923336863517761,0.9096535444259644,0.9153478465463012,0.9299801587301588
FiftyWords,0.7802197933197021,0.7846153974533081,0.83054945,0.83010989010989,0.00522668,0.0026097455136347,0.00043955989011,0.8145826458930969,0.8423411250114441,0.8601971830985917,0.8844966558051792,0.8277787566184998,0.8538578152656555,0.8734084507042255,0.8943005773738069,0.8365163207054138,0.8354042768478394,0.8728169014084508,0.8738924141085005,0.8212769627571106,0.8475249409675598,0.868394366197183,0.8887555022008804,0.8447791934013367,0.8497395515441895,0.8824507042253521,0.8877836849025326,0.8307269811630249,0.854049563407898,0.8757464788732394,0.8942719945120905
Fish,0.9257142543792723,0.9485714435577391,0.97885714,0.9845714285714284,0.00895441,0.0026186146828318,-0.0057142885714285,0.8109042644500732,0.9350186586380004,0.8613485280151946,0.9390896921017404,0.8078166246414185,0.9349011182785034,0.8589743589743589,0.9390896921017404,0.903498351573944,0.9681618213653564,0.9154795821462488,0.9658634538152612,0.8012977838516235,0.9309187531471252,0.8542260208926876,0.9350736278447124,0.8728992342948914,0.9591503739356996,0.8964862298195632,0.9585006693440428,0.8075898885726929,0.9342098832130432,0.858974358974359,0.9384203480589024
FordA,0.9439393877983092,0.9424242377281188,0.94492424,0.936818181818182,0.00283571,0.0031818181818182,0.008106058181818,0.8672195076942444,0.8786817193031311,0.8970868942779054,0.9039283296666102,0.8672195076942444,0.8786817193031311,0.8970868942779054,0.9039283296666102,0.8651062250137329,0.8599564433097839,0.8936163290095874,0.887629040446776,0.8672195076942444,0.8786817193031311,0.8970868942779054,0.9039283296666102,0.8678938150405884,0.8695859909057617,0.8968049108498546,0.8960695549162294,0.8672195076942444,0.8786817193031311,0.8970868942779054,0.9039283296666102
FordB,0.7913580536842346,0.7925926446914673,0.8062963,0.7944444444444444,0.00608859,0.0084682719208111,0.0118518555555555,0.7036789059638977,0.723985493183136,0.7792188610621348,0.7924640261088858,0.7036789059638977,0.723985493183136,0.7792188610621348,0.7924640261088858,0.7069025635719299,0.7082686424255371,0.7781849735527882,0.7846851357365376,0.7036789059638977,0.723985493183136,0.7792188610621348,0.7924640261088858,0.7057809829711914,0.7200071811676025,0.7785449879533642,0.790665331553182,0.7036789059638977,0.723985493183136,0.7792188610621348,0.7924640261088858
GunPoint,0.993333339691162,0.9866666793823242,1.0,1.0,0.0,0.0,0.0,0.9931278228759766,0.9929880499839784,0.9865771812080536,0.9864864864864864,0.9931278228759766,0.9929880499839784,0.9865771812080536,0.9864864864864864,0.9999991059303284,0.9894694685935974,0.9932885906040269,0.9864864864864864,0.9931278228759766,0.9929880499839784,0.9865771812080536,0.9864864864864864,0.9931278228759766,0.9823585152626038,0.9865771812080536,0.9797297297297296,0.9931278228759766,0.9929880499839784,0.9865771812080536,0.9864864864864864
Ham,0.7809523940086365,0.8095238208770752,0.72571429,0.72,0.01606236,0.0106052654530095,0.00571429,0.436320811510086,0.4380167126655578,0.7237539766702015,0.7000000000000002,0.436320811510086,0.4380167126655578,0.7237539766702015,0.7000000000000002,0.463572233915329,0.4702882170677185,0.7274655355249205,0.7070588235294116,0.436320811510086,0.4380167126655578,0.7237539766702015,0.7000000000000002,0.45206019282341,0.4756118655204773,0.7253446447507954,0.7158823529411765,0.436320811510086,0.4380167126655578,0.7237539766702015,0.7000000000000002
HandOutlines,0.9486486911773682,0.9378378391265868,0.94162162,0.9429729729729728,0.0031724,0.0018918918918918,-0.0013513529729728,0.6069990396499634,0.6916288733482361,0.7281451491977807,0.7920060142839243,0.6069990396499634,0.6916288733482361,0.7281451491977807,0.7920060142839243,0.6649113893508911,0.6867033243179321,0.7530364372469636,0.7813557198346073,0.6069990396499634,0.6916288733482361,0.7281451491977807,0.7920060142839243,0.6548884510993958,0.7012214064598083,0.7482381166591693,0.7905024433028442,0.6069990396499634,0.6916288733482361,0.7281451491977807,0.7920060142839243
Haptics,0.5357142686843872,0.5259740352630615,0.525,0.5256493506493507,0.00460434,0.0053250712554729,-0.0006493506493506,0.2195424437522888,0.2726729810237884,0.6297096842551388,0.6481481481481483,0.2220342457294464,0.2689055502414703,0.6347107438016528,0.6448080500591916,0.2168751209974289,0.2163567245006561,0.61186692095783,0.6200744123118552,0.2257287204265594,0.2619130611419678,0.634286925196016,0.6372822594283782,0.2118755578994751,0.2527286410331726,0.6127569400296673,0.6351682732961272,0.2187771201133728,0.2657404243946075,0.6302182665819029,0.6412142736343649
Herring,0.671875,0.671875,0.6859375,0.61875,0.02010444,0.0173992636338438,0.0671874999999999,0.3479387760162353,0.4338169395923614,0.6489479512735327,0.6423034330011075,0.3479387760162353,0.4338169395923614,0.6489479512735327,0.6423034330011075,0.3882875740528106,0.4335722029209137,0.6423034330011074,0.6400885935769657,0.3479387760162353,0.4338169395923614,0.6489479512735327,0.6423034330011075,0.395405501127243,0.4379556179046631,0.6489479512735326,0.64562569213732,0.3479387760162353,0.4338169395923614,0.6489479512735327,0.6423034330011075
InlineSkate,0.401818186044693,0.3963636457920074,0.45818182,0.4843636363636364,0.00492366,0.0057034135059484,-0.0261818163636363,0.3506826758384704,0.4248062968254089,0.6420800726182453,0.6783464131756384,0.3564792573451996,0.4310691356658935,0.6489017865738766,0.6859870675361999,0.3508726954460144,0.4142743647098541,0.629083057118101,0.6643915109981209,0.3610263168811798,0.4333024621009826,0.6518725329739097,0.6879352271471206,0.3562177419662475,0.4259871244430542,0.6357534830626195,0.6711617110644412,0.3589955270290375,0.4326519966125488,0.6510198187294557,0.6873549242842931
InsectWingbeatSound,0.6095960140228271,0.6136363744735718,0.65656566,0.6631818181818183,0.00215593,0.0018686868686868,-0.0066161581818182,0.5242162942886353,0.5078721046447754,0.705870563155204,0.6973033163882837,0.5231469869613647,0.5096179842948914,0.7063593033737008,0.7002705828559133,0.4920699000358581,0.4871210753917694,0.6863102364280806,0.6892568385378843,0.5023580193519592,0.4997047483921051,0.692252288558227,0.6943252911589877,0.519196629524231,0.5192521810531616,0.7018888308926691,0.7082976949353129,0.5192192196846008,0.5090141892433167,0.7033111078004439,0.7001597676107479
ItalyPowerDemand,0.9484936594963074,0.9465500712394714,0.96909621,0.968901846452867,0.00089304,0.0006146312264661,0.0001943635471329,0.8141112327575684,0.8353405594825745,0.8625889266934735,0.874836662310995,0.8148923516273499,0.8352632522583008,0.8627145839777296,0.8748273287287662,0.8220577836036682,0.8404181003570557,0.8653727188369935,0.8786074295314542,0.8163661956787109,0.8353405594825745,0.8641548097742036,0.8748366623109951,0.8173229098320007,0.8387333750724792,0.8641741416640891,0.8772633936904984,0.8141112327575684,0.8352632522583008,0.8625889266934734,0.8748273287287661
LargeKitchenAppliances,0.8639999628067017,0.8853332996368408,0.9,0.8960000000000001,0.00226623,0.004618802153517,0.0039999999999998,0.674297571182251,0.6039701104164124,0.8018034374243523,0.764009526478005,0.673222005367279,0.607512354850769,0.8019849915274752,0.7669515270383861,0.7704790234565735,0.6500211358070374,0.8496732026143791,0.7841832446063324,0.6729421019554138,0.6083140969276428,0.8013798111837327,0.7685626225833566,0.7464644908905029,0.644510805606842,0.8409586056644881,0.7848837209302326,0.6737980246543884,0.6098566651344299,0.8025296538368434,0.7692630989072569
Lightning2,0.6885245442390442,0.7049179673194885,0.76393443,0.7836065573770492,0.00846554,0.0065573770491803,-0.0196721273770491,0.4951705932617187,0.5452919602394104,0.7080200501253133,0.7028423772609819,0.5117208361625671,0.5452919602394104,0.7086466165413534,0.7028423772609819,0.5620627999305725,0.5421784520149231,0.7180451127819549,0.7067183462532299,0.5359945893287659,0.5452919602394104,0.711779448621554,0.7028423772609819,0.5420660376548767,0.5403818488121033,0.7142857142857143,0.7054263565891473,0.4951705932617187,0.5452919602394104,0.7080200501253133,0.7028423772609819
Lightning7,0.767123281955719,0.8082191944122314,0.82191781,0.826027397260274,0.01118488,0.0062775009519943,-0.0041095872602739,0.5598888993263245,0.3328773975372314,0.7027310924369747,0.6101694915254237,0.5578476786613464,0.3322228491306305,0.7016806722689075,0.6101694915254238,0.5883732438087463,0.3260654509067535,0.7195378151260504,0.5871670702179177,0.5467638373374939,0.3325327634811401,0.694327731092437,0.612590799031477,0.5773689150810242,0.289940595626831,0.7090336134453781,0.5750605326876513,0.5568118691444397,0.3322228491306305,0.7006302521008403,0.6101694915254238
Mallat,0.9283581972122192,0.9262259602546692,0.95603412,0.9535607675906184,0.0011799,0.0016565394114759,0.0024733524093816,0.8753690123558044,0.8856071829795837,0.8970158803071069,0.9048531493841748,0.8763154745101929,0.8849655985832214,0.8976119386661416,0.9039083873577534,0.8636387586593628,0.8187877535820007,0.8893136032548067,0.8636349120173729,0.8759360313415527,0.87929368019104,0.8969748671172649,0.8985112679504786,0.8710275292396545,0.8629059791564941,0.8945250125773782,0.8916823683454156,0.8761817812919617,0.8839806318283081,0.8974752280333356,0.9029795931402294
Meat,0.9666666984558104,0.98333340883255,0.945,0.9499999999999998,0.00805076,1.1102230246251563e-16,-0.0049999999999998,0.9518164992332458,0.9450687170028688,0.9482758620689656,0.9322033898305084,0.9518164992332458,0.9450687170028688,0.9482758620689656,0.9322033898305084,0.9518164992332458,0.9260964393615724,0.9396551724137931,0.9152542372881356,0.9518164992332458,0.9450687170028688,0.9482758620689656,0.9322033898305084,0.9518164992332458,0.9450687170028688,0.9396551724137931,0.9322033898305084,0.9518164992332458,0.9450687170028688,0.9482758620689656,0.9322033898305084
MedicalImages,0.7013158202171326,0.7157894968986511,0.7975,0.7946052631578947,0.00209886,0.0023129468199009,0.0028947368421052,0.7181516289710999,0.72834312915802,0.8153085766709921,0.8118617238562092,0.7114217877388,0.7224786281585693,0.8142671768974552,0.8108149509803924,0.5588126182556152,0.6256000995635986,0.7269218371614417,0.7550806781045751,0.6854804754257202,0.7014960050582886,0.7931168434015754,0.7947048611111112,0.6467323303222656,0.6763390302658081,0.7756279392682099,0.7821180555555556,0.7035630345344543,0.7177633047103882,0.8074567529816268,0.8067555147058824
MiddlePhalanxOutlineAgeGroup,0.551948070526123,0.551948070526123,0.59545455,0.5532467532467532,0.01300504,0.0153114624968202,0.0422077967532468,0.0865775123238563,0.1071143746376037,0.548849104859335,0.5295822676896845,0.0805778950452804,0.0916193425655365,0.5490196078431373,0.5254901960784314,0.0872130468487739,0.0018068178324028,0.5285592497868713,0.4644501278772378,0.065351627767086,0.075548231601715,0.5437340153452687,0.5164535379369138,0.0929130092263221,0.0716973543167114,0.5444160272804774,0.49769820971867,0.0839716717600822,0.0907752439379692,0.5532821824381927,0.5258312020460357
MiddlePhalanxOutlineCorrect,0.8109965920448303,0.8144329786300659,0.84123711,0.8288659793814432,0.00773514,0.0071754683910038,0.0123711306185567,0.6385146379470825,0.6049359440803528,0.7671032357473035,0.7529301453352086,0.6385146379470825,0.6049359440803528,0.7671032357473035,0.7529301453352086,0.6602621078491211,0.5752623677253723,0.7684899845916795,0.728473198937334,0.6385146379470825,0.6049359440803528,0.7671032357473035,0.7529301453352086,0.6526106595993042,0.5927276611328125,0.7697226502311247,0.7403500546960462,0.6385146379470825,0.6049359440803528,0.7671032357473035,0.7529301453352086
MiddlePhalanxTW,0.5389610528945923,0.5584415793418884,0.55584416,0.5461038961038961,0.00547581,0.015214772095922,0.0097402638961039,0.7447995543479919,0.7040529847145081,0.806210758527066,0.7694938440492475,0.7517079710960388,0.7196510434150696,0.8107924656371968,0.7848837209302325,0.7549575567245483,0.7658319473266602,0.8153741727473274,0.8271203830369357,0.7397981882095337,0.7289005517959595,0.7997624300016968,0.7948016415868673,0.7611002326011658,0.7688854932785034,0.8189377227218734,0.8290013679890561,0.7463368773460388,0.7250596880912781,0.8065501442389276,0.7915526675786593
MoteStrain,0.8426517248153687,0.8282747268676758,0.91421725,0.9125399361022366,0.00279743,0.0020285024120128,0.0016773138977633,0.702793538570404,0.5676555633544922,0.8048500012028772,0.7624587921329415,0.7052462697029114,0.5677041411399841,0.805153126278057,0.7624789755780315,0.742422342300415,0.3521123826503753,0.8125436043014892,0.606492341503891,0.7215710282325745,0.5677041411399841,0.8059374022662208,0.7624812181830414,0.7300698757171631,0.3790621757507324,0.8091418673466932,0.626915745329775,0.702793538570404,0.5676555633544922,0.8048403781846176,0.7624587921329415
